ACRES,POP_2010,POP_2000,Manure_P_kg_ha,P_Ag_Buffered,RNAT45,PDEV,PFOR,PWETL,Ag_P_Runoff,Ag_P_Erosion,Ag_Tile_SSF,PIUCN_IA,PIUCN_IB,Ag_P_balance_kg_ha
27827.9,4409,4610,7.508906816,79.91703562,78.2573776,10,47.2827034,1.0202932,2.596925969,0.048677877,0,0,0,7.852906717
29748.4,7167,4386,0.065517478,70.84492184,88.5880661,18,64.9331589,3.2787573,1.007915055,0.012414357,0,0,0,0.339873536
16270.73,1157,1177,5.004765282,69.57952468,69.6925201,6,52.8983498,1.5989012,2.208949968,0.094914108,0,0,0,5.177142757
36006.93,14291,12876,4.109042863,79.40224746,76.7042999,16,49.3309326,0.2795818,2.945266666,0.050368676,0,0,0,5.062488137
12448.59,159,131,0.920765208,95.75394665,94.8686066,11,54.0370064,12.2079849,1.173058751,0.032831348,0,0,0,1.121730156
16483.78,503,490,1.990103935,90.89277703,94.3028946,4,72.2766418,3.7167137,1.156816727,0.058111411,0,0,0,1.975934679
21187.77,2113,1712,2.746402905,89.65273572,85.2267609,8,31.2983665,39.7662697,6.303304079,0.059125687,0,0,0,3.05819005
41367.43,10020,9148,7.308358436,81.64272355,77.0789871,12,47.2429848,0.5197123,3.149566772,0.095762899,0,0,0,7.493266722
25852.31,4331,3446,2.613233879,91.03067485,91.0940094,10,49.0649147,20.3028145,2.85736323,0.07599212,0,0,0,2.594628026
12973.94,2911,2192,2.609480243,94.66064757,94.4736176,10,46.6756287,17.7368774,2.656156558,0.054505358,0,0,0,2.428488281
15712.7,3051,2787,4.593650262,94.47578947,83.7536545,12,45.90905,6.1900811,3.968843214,0.145391709,0,0,0,4.613017858
21134.71,2364,2230,2.807099205,93.71580731,91.169899,7,31.8595753,25.8985519,6.515499787,0.078433913,0,0,0,2.471277271
31171.72,1408,1399,5.400367643,84.18938914,87.23629,3,21.2178879,49.9867668,10.39614974,0.128033167,0,0,0,5.783946808
19772.32,2636,2545,1.92600439,91.51799687,93.0121002,8,65.6668625,7.4658337,1.194477125,0.04089444,0,0,0,1.912291513
19084.14,36567,29353,0.139363089,70.08244994,39.7938499,73,18.1355572,0.31078,0.572679488,0.023008663,0,0,0,0.541905128
18082.79,9377,8887,2.987655118,71.86311787,76.7276077,21,55.3863869,0.1731559,2.130729042,0.064550015,0,0,0,3.063245579
23761.51,4477,4101,5.857333642,70.65837663,69.3452072,13,40.804451,0.5193673,2.117770546,0.057150205,0,0,0,6.768103001
18506.28,8420,7608,3.405430345,62.92939295,72.6660385,15,29.2296906,29.6641788,6.485650204,0.07585673,0,0,0,3.406559738
10302.99,19063,20008,0.178448866,78.25322392,42.0705757,69,21.7777004,0.6188199,0.76579582,0.031396195,0,0,0,0.693887856
19511.6,3312,2677,6.442716596,71.29916567,73.2471008,10,50.5016022,0.1454421,3.309412757,0.139615401,0,0,0,6.62188684
11392.66,1118,1067,8.88179039,79.06610703,73.3433304,8,58.9543686,0.5545906,1.681819025,0.063568768,0,0,0,8.825388218
31348.27,10807,7204,2.204563413,96.73724735,94.7384415,15,46.1573715,12.23771,3.738734707,0.069845005,0,0,0,1.942347969
20233.56,30491,24775,0.208106357,83.71842267,54.5877953,55,26.4991016,1.1241837,0.273635048,0.010526731,0,0,0,1.284713332
21809.5,1593,1427,2.802378726,92.18940688,93.2473373,10,59.1901283,12.3195553,1.621120102,0.037056416,0,0,0,2.782426188
23387.38,2821,2326,2.685256114,89.44428531,89.3633804,7,63.0930367,3.56689,4.205608218,0.079715148,0,0,0,2.37334932
22612.9,6864,6414,3.355224878,77.28763356,77.8690109,21,25.6092548,28.972805,4.642542696,0.078472392,0,0,0,3.356337621
8442.39,872,851,1.604000523,90.90163934,85.6709061,10,69.6004028,3.9137125,1.056992688,0.035976023,0,0,0,1.659246582
24816.5,9344,7983,1.439121929,86.85395282,85.4719925,16,66.1958618,2.451261,1.177312518,0.031476136,0,0,0,1.490688464
